emp_no,dept_no,from_date,to_date
18047,d005,1/25/1994,9/8/2001
18048,d008,12/4/1991,1/1/9999
18049,d004,7/3/1995,1/1/9999
18050,d004,3/9/2002,1/1/9999
18050,d005,8/16/1999,3/9/2002
18051,d005,6/10/1990,4/16/1999
18052,d004,4/9/1994,1/1/9999
18053,d005,10/8/1986,1/1/9999
18054,d004,2/12/1993,8/9/1995
18055,d005,9/24/1993,1/1/9999
18056,d004,1/5/1997,1/1/9999
18057,d004,1/27/2000,1/1/9999
18058,d007,10/6/1994,1/1/9999
18059,d004,11/25/1992,1/1/9999
18060,d001,12/24/1998,5/28/1999
18061,d004,8/24/1985,1/8/1986
18061,d005,5/28/1985,8/24/1985
18062,d004,4/28/1992,1/1/9999
18063,d004,9/14/1994,1/1/9999
18064,d005,11/4/1998,1/1/9999
18065,d007,6/18/1986,1/1/9999
18066,d005,5/27/1993,1/1/9999
18067,d009,1/21/1995,1/1/9999
18068,d005,8/8/1990,12/1/1998
18069,d004,6/9/1998,1/1/9999
18070,d004,3/22/1992,1/1/9999
18070,d005,2/3/1986,3/22/1992
18071,d003,1/22/1986,1/1/9999
18072,d009,8/11/1985,1/1/9999
18073,d005,1/20/1992,1/1/9999
18074,d004,1/30/1991,12/3/1991
18075,d006,2/22/1986,1/1/9999
18076,d004,8/22/1986,1/1/9999
18077,d006,12/8/1995,10/22/2001
18078,d005,11/17/1988,1/1/9999
18079,d001,2/23/1985,1/1/9999
18080,d004,5/11/1995,1/1/9999
18080,d005,12/16/1992,5/11/1995
18081,d009,9/12/1985,1/1/9999
18082,d003,7/31/1995,1/1/9999
18083,d005,12/13/1987,1/1/9999
18084,d004,5/1/1985,1/1/9999
18085,d005,6/6/1999,1/1/9999
18086,d007,5/28/1994,5/21/2000
18087,d006,12/27/1999,1/1/9999
18088,d005,3/23/1996,1/1/9999
18089,d005,11/2/1985,1/1/9999
18090,d001,9/27/1998,1/1/9999
18090,d007,12/24/1997,9/27/1998
18091,d001,3/13/1995,1/1/9999
18092,d008,4/8/1988,1/1/9999
18093,d009,1/1/1993,1/1/9999
18094,d005,10/6/1997,2/14/1999
18095,d003,9/13/1996,12/16/1996
18096,d005,1/19/1993,1/1/9999
18097,d005,7/22/1997,5/27/2002
18098,d005,8/13/1992,1/1/9999
18099,d005,4/30/1993,1/1/9999
18100,d004,2/15/1998,10/25/2000
18100,d009,10/25/2000,1/1/9999
18101,d002,1/14/1996,1/1/9999
18102,d005,11/22/1997,1/1/9999
18103,d008,1/18/1995,1/1/9999
18104,d005,10/6/1996,1/1/9999
18105,d005,6/23/1997,6/14/1998
18106,d004,8/30/1999,1/1/9999
18107,d005,6/13/1998,1/1/9999
18108,d007,9/13/1998,1/1/9999
18109,d003,6/2/1988,5/15/1991
18110,d004,8/31/1997,1/1/9999
18110,d005,12/14/1995,8/31/1997
18111,d002,10/2/1998,1/1/9999
18112,d004,7/30/1994,1/1/9999
18113,d005,3/8/1989,1/1/9999
18114,d005,12/6/1987,3/30/1994
18115,d005,3/3/1993,1/1/9999
18116,d005,3/25/1988,1/1/9999
18117,d005,10/8/1997,1/1/9999
18118,d007,1/24/1994,8/4/1999
18118,d009,8/4/1999,1/1/9999
18119,d007,2/24/1996,1/1/9999
18120,d008,6/5/1988,1/1/9999
18121,d008,7/24/1990,8/14/1998
18122,d005,2/4/1989,1/1/9999
18123,d009,8/9/1995,1/1/9999
18124,d004,8/30/1990,1/1/9999
18125,d001,12/22/1986,1/1/9999
18126,d004,7/26/1987,1/1/9999
18127,d004,5/4/1985,7/5/1991
18128,d007,1/31/2000,1/1/9999
18129,d005,4/13/1998,9/22/2000
18129,d008,9/22/2000,1/1/9999
18130,d008,5/26/1993,1/1/9999
18131,d005,9/11/1992,1/1/9999
18132,d007,5/23/1988,1/1/9999
18133,d009,1/31/1994,12/8/1998
18134,d005,7/31/1992,1/1/9999
18135,d007,11/24/1996,1/1/9999
18136,d005,10/13/1985,1/1/9999
18137,d003,5/2/1993,1/1/9999
18138,d005,3/10/2000,1/1/9999
18138,d008,8/5/1985,3/10/2000
18139,d002,9/21/1997,9/17/1998
18140,d008,8/13/1993,1/1/9999
18141,d005,5/22/1990,1/1/9999
18142,d005,9/16/1989,1/1/9999
18143,d004,11/1/1985,1/1/9999
18144,d005,7/20/1999,1/1/9999
18145,d003,4/4/1995,1/1/9999
18146,d004,8/15/1988,1/1/9999
18147,d008,8/7/1985,1/1/9999
18148,d005,4/18/1999,9/11/1999
18148,d008,9/11/1999,8/24/2000
18149,d008,3/5/1991,8/16/1995
18150,d005,1/21/1998,1/1/9999
18151,d007,4/17/1993,1/1/9999
18152,d005,12/27/1987,1/1/9999
18153,d004,7/13/1996,1/1/9999
18154,d005,5/10/1986,1/1/9999
18155,d004,4/15/1988,1/1/9999
18156,d005,6/4/1989,1/1/9999
18157,d004,7/25/2002,1/1/9999
18157,d005,7/21/1997,7/25/2002
18158,d002,11/22/1987,3/6/1988
18159,d007,4/7/1992,1/1/9999
18160,d005,2/11/1998,1/1/9999
18161,d004,4/25/1987,1/1/9999
18162,d005,5/11/1990,1/1/9999
18163,d007,7/18/1991,1/1/9999
18164,d007,1/17/1997,1/1/9999
18165,d005,4/22/1996,4/26/1997
18166,d007,9/20/1988,1/1/9999
18167,d005,4/11/1990,1/1/9999
18168,d004,8/26/1993,8/26/2001
18168,d009,8/26/2001,1/1/9999
18169,d001,5/16/1999,1/1/9999
18170,d005,6/19/1994,8/15/1994
18171,d004,9/23/1997,1/1/9999
18172,d004,4/8/1992,1/1/9999
18173,d008,8/14/1993,1/1/9999
18174,d007,7/7/1988,1/1/9999
18175,d004,10/4/1990,1/1/9999
18176,d006,9/16/1993,3/26/1997
18177,d005,12/30/1996,1/1/9999
18178,d005,5/29/2001,6/30/2001
18178,d008,9/19/1999,5/29/2001
18179,d007,5/24/1993,1/1/9999
18180,d007,3/2/1986,1/1/9999
18181,d009,3/29/1987,1/1/9999
18182,d003,5/25/1988,1/1/9999
18183,d007,9/4/1988,1/1/9999
18184,d009,11/13/1991,1/1/9999
18185,d005,3/27/1986,1/1/9999
18186,d003,11/11/1995,1/1/9999
18187,d008,12/21/1998,6/3/1999
18188,d004,4/5/1999,1/1/9999
18188,d005,5/7/1990,4/5/1999
18189,d005,5/4/1995,3/19/1998
18190,d005,1/1/1996,1/1/9999
18191,d003,7/25/1999,1/1/9999
18192,d005,1/31/1987,1/1/9999
18193,d005,8/25/1997,1/1/9999
18194,d007,7/13/1999,1/1/9999
18195,d004,9/4/1991,8/16/1993
18196,d004,8/10/1985,11/24/1986
18196,d009,11/24/1986,1/1/9999
18197,d008,3/3/1994,1/1/9999
18198,d003,5/10/1999,1/1/9999
18199,d003,1/1/1990,1/1/9999
18200,d001,11/14/1996,1/1/9999
18201,d005,7/19/1991,1/1/9999
18202,d002,10/5/1997,10/3/2000
18203,d005,6/24/1991,1/1/9999
18204,d005,11/8/1996,1/1/9999
18205,d001,4/6/1995,1/1/9999
18206,d004,12/17/1996,3/30/1998
18206,d006,3/30/1998,3/11/2000
18207,d004,4/6/1986,1/1/9999
18208,d003,10/5/1986,1/1/9999
18209,d004,4/23/1993,1/1/9999
18210,d005,6/19/1994,1/1/9999
18211,d004,10/22/1988,1/24/1996
18212,d009,4/30/1985,1/1/9999
18213,d008,10/9/1986,1/1/9999
18214,d001,3/3/1999,1/1/9999
18214,d003,6/15/1998,3/3/1999
18215,d004,8/12/1996,1/1/9999
18216,d009,11/22/1998,1/1/9999
18217,d005,4/25/1990,1/1/9999
18218,d002,1/23/1986,1/1/9999
18219,d006,4/8/1996,1/1/9999
18220,d009,9/26/1992,1/19/1998
18221,d001,3/23/1992,1/1/9999
18222,d005,12/23/1988,1/30/1998
18223,d004,8/26/1990,1/1/9999
18223,d008,7/15/1986,8/26/1990
18224,d007,5/13/1986,12/29/1997
18225,d004,7/17/1995,12/29/1997
18226,d004,4/30/1996,1/1/9999
18227,d002,7/28/1985,1/1/9999
18228,d004,11/11/1985,1/1/9999
18229,d003,10/5/1993,1/1/9999
18230,d004,3/6/1989,9/30/1992
18231,d007,10/12/1999,5/21/2001
18231,d009,5/21/2001,1/1/9999
18232,d005,8/7/1988,1/1/9999
18233,d004,11/14/1996,1/1/9999
18234,d004,3/16/1989,1/1/9999
18235,d008,6/16/1999,5/21/2001
18236,d005,9/23/1993,1/1/9999
18237,d004,8/21/1995,1/1/9999
18238,d007,6/22/1986,8/8/1997
18239,d008,2/7/1997,1/1/9999
18240,d008,11/12/1996,1/1/9999
18241,d005,1/21/1999,1/1/9999
18241,d006,9/13/1994,1/21/1999
18242,d004,2/10/1992,1/1/9999
18243,d003,4/24/1997,1/1/9999
18244,d007,6/4/1993,1/1/9999
18245,d009,7/20/1997,12/20/1997
18246,d007,12/18/1996,1/1/9999
18247,d005,1/28/1993,1/1/9999
18248,d009,10/5/1987,1/1/9999
18249,d002,4/20/1989,1/1/9999
18250,d005,12/31/1985,2/21/1988
18251,d008,10/8/1986,1/1/9999
18252,d004,9/3/1997,1/1/9999
18252,d005,2/25/1994,9/3/1997
18253,d005,2/7/1996,1/1/9999
18254,d004,3/2/1996,6/1/1998
18255,d005,4/5/1995,1/1/9999
18256,d004,3/26/1991,4/17/1995
18257,d008,2/19/1993,1/1/9999
18258,d007,3/20/1992,1/1/9999
18259,d004,6/2/1992,1/1/9999
18260,d004,1/22/1993,1/1/9999
18261,d005,6/6/1986,1/1/9999
18262,d005,6/2/1985,1/1/9999
18263,d004,8/2/1997,1/1/9999
18263,d009,9/10/1988,8/2/1997
18264,d009,7/5/1988,1/1/9999
18265,d007,1/9/1997,9/9/1998
18266,d005,11/26/1994,1/1/9999
18267,d003,7/25/1986,1/1/9999
18268,d004,1/6/1990,1/1/9999
18269,d004,10/25/1999,1/1/9999
18270,d007,8/21/1999,1/1/9999
18271,d001,7/8/1987,1/1/9999
18272,d004,12/18/1993,1/1/9999
18273,d004,6/30/1999,11/8/2001
18273,d005,10/28/1987,6/30/1999
18274,d007,6/13/1986,1/1/9999
18275,d001,7/5/1985,1/1/9999
18276,d004,4/17/1997,1/1/9999
18277,d007,10/30/1991,1/1/9999
18278,d006,10/28/1985,1/1/9999
18279,d008,1/26/1999,1/1/9999
18280,d004,10/17/1988,8/30/1994
18281,d002,2/5/1999,1/1/9999
18282,d008,4/20/1992,1/1/9999
18283,d007,11/9/1993,6/6/1995
18283,d009,6/6/1995,1/1/9999
18284,d007,11/14/1998,1/1/9999
18285,d007,4/18/1999,1/1/9999
18286,d005,6/6/1995,12/27/1998
18287,d006,11/25/1989,1/1/9999
18288,d005,1/22/1993,1/1/9999
18289,d006,11/30/1999,1/1/9999
18290,d005,2/25/1995,1/1/9999
18291,d009,11/19/1992,1/1/9999
18292,d003,10/27/1997,1/1/9999
18293,d004,2/21/1998,3/22/2001
18293,d009,3/22/2001,1/1/9999
18294,d001,7/7/1997,1/1/9999
18295,d005,6/12/1991,12/15/1995
18296,d003,6/16/1996,1/1/9999
18297,d007,9/7/1985,1/1/9999
18298,d005,3/16/1997,1/1/9999
18299,d005,10/29/1992,1/1/9999
18300,d008,12/17/1993,1/1/9999
18301,d004,12/3/1992,9/28/2000
18302,d007,4/23/1988,9/26/1993
18303,d004,5/9/1992,1/1/9999
18304,d002,11/8/1996,6/9/2001
18304,d007,6/9/2001,1/1/9999
18305,d004,10/4/1993,1/1/9999
18306,d007,2/19/1998,7/2/2002
18307,d005,9/30/1992,1/1/9999
18308,d006,9/30/1992,1/1/9999
18309,d006,8/3/1987,1/1/9999
18310,d005,8/6/1996,1/1/9999
18311,d004,9/28/1987,1/1/9999
18312,d007,6/23/1994,1/1/9999
18313,d005,3/11/1995,1/1/9999
18314,d001,4/23/2000,5/9/2000
18314,d007,12/12/1999,4/23/2000
18315,d005,4/28/1995,1/1/9999
18316,d005,2/19/1985,1/1/9999
18317,d002,10/6/1985,1/1/9999
18318,d007,1/25/1993,1/1/9999
18319,d007,10/1/1989,1/1/9999
18320,d004,4/11/1988,2/23/2001
18321,d004,10/26/1992,1/1/9999
18322,d004,10/4/1988,1/1/9999
18323,d005,1/25/1994,1/1/9999
18323,d006,8/17/1987,1/25/1994
18324,d005,10/22/1991,1/1/9999
18325,d005,8/21/1992,1/1/9999
18326,d004,6/30/1985,1/1/9999
18327,d004,5/5/1987,8/29/1991
18328,d005,11/10/1994,1/1/9999
18329,d005,8/18/1999,1/1/9999
18330,d006,4/29/1997,1/1/9999
18331,d003,11/11/1997,1/1/9999
18332,d005,12/4/2000,4/11/2001
18332,d008,1/16/1999,12/4/2000
18333,d004,3/23/1994,1/1/9999
18334,d005,6/9/1985,1/1/9999
18335,d005,1/17/1997,1/1/9999
18336,d005,1/4/1994,1/1/9999
18337,d004,1/19/1995,1/1/9999
18338,d001,10/4/1995,1/1/9999
18339,d005,7/24/1996,1/1/9999
18340,d004,2/23/1992,7/5/2001
18341,d006,7/14/1998,1/1/9999
18342,d004,10/29/1985,1/1/9999
18343,d004,4/29/1992,1/1/9999
18343,d005,3/27/1990,4/29/1992
18344,d009,9/8/1993,1/1/9999
18345,d007,8/15/1990,1/1/9999
18346,d005,9/27/1991,1/1/9999
18347,d008,8/29/1999,2/21/2001
18348,d006,2/14/1996,1/1/9999
18349,d005,1/9/1987,1/1/9999
18350,d004,7/31/1987,1/1/9999
18351,d004,1/15/1996,1/1/9999
18352,d005,1/18/1991,1/1/9999
18353,d007,3/11/1995,5/16/1995
18354,d001,4/11/1990,9/16/1992
18354,d007,9/16/1992,11/2/1995
18355,d002,7/26/1999,1/1/9999
18356,d002,2/17/1992,1/1/9999
18357,d004,4/19/1988,1/1/9999
18358,d004,2/23/1997,1/1/9999
18359,d001,1/10/1993,1/22/1997
18360,d005,10/27/1999,1/1/9999
18361,d007,8/8/1988,1/1/9999
18362,d004,10/10/1994,2/17/1996
18362,d005,9/23/1991,10/10/1994
18363,d007,1/31/1999,1/1/9999
18364,d002,10/31/1986,1/1/9999
18365,d004,12/6/1994,1/1/9999
18366,d004,9/1/1995,1/1/9999
18367,d006,4/6/1986,1/1/9999
18368,d004,2/28/1988,1/1/9999
18369,d007,7/2/1986,8/18/1996
18370,d005,8/15/1985,1/1/9999
18371,d004,10/13/1991,6/10/1995
18371,d009,6/10/1995,1/1/9999
18372,d006,8/30/1990,1/1/9999
18373,d009,11/16/1987,1/1/9999
18374,d001,1/8/1989,1/1/9999
18375,d003,4/29/1995,1/1/9999
18376,d004,9/26/1994,1/1/9999
18377,d009,9/19/1997,1/1/9999
18378,d004,7/25/1991,6/9/2002
18379,d004,3/9/1991,2/5/2000
18379,d009,2/5/2000,1/1/9999
18380,d006,9/8/1994,1/1/9999
18381,d003,11/12/1991,1/1/9999
18382,d005,1/30/1997,1/1/9999
18383,d001,6/24/1997,1/1/9999
18384,d001,9/29/1989,1/20/1999
18385,d005,6/2/1994,1/1/9999
18386,d007,3/24/1992,1/1/9999
18387,d005,12/2/1989,1/1/9999
18388,d007,7/15/1994,12/27/1994
18389,d004,10/9/1998,1/1/9999
18390,d004,9/14/1995,1/1/9999
18390,d005,12/1/1993,9/14/1995
18391,d004,12/28/1993,1/1/9999
18392,d005,1/15/1996,4/7/1998
18393,d004,11/20/1988,1/1/9999
18394,d003,3/23/1997,1/1/9999
18395,d004,8/27/1988,4/27/1995
18396,d009,7/30/1993,1/1/9999
18397,d009,10/6/1989,1/1/9999
18398,d001,9/1/1994,1/1/9999
18399,d005,5/1/1996,1/1/9999
18400,d004,8/11/1999,8/14/2001
18400,d009,8/14/2001,1/1/9999
18401,d007,9/7/1999,1/1/9999
18402,d009,5/2/1985,1/1/9999
18403,d004,6/9/1998,5/23/2000
18404,d007,5/3/1996,1/1/9999
18405,d005,10/20/1990,1/1/9999
18406,d006,6/21/1993,1/1/9999
18407,d007,10/9/1987,8/15/1997
18408,d006,2/11/1992,5/18/1998
18409,d002,7/26/1993,8/25/1994
18409,d007,8/25/1994,1/1/9999
18410,d004,5/24/1986,1/1/9999
18411,d002,11/2/1998,1/1/9999
18412,d007,11/1/1991,8/19/1997
18413,d006,10/12/1994,1/1/9999
18414,d008,7/31/1985,1/1/9999
18415,d003,7/27/1994,1/1/9999
18416,d008,2/17/1997,9/19/1998
18417,d003,5/9/1998,10/11/1999
18418,d005,10/30/2000,1/1/9999
18418,d006,11/15/1997,10/30/2000
18419,d007,12/15/1987,3/21/1995
18420,d005,4/28/1990,1/1/9999
18421,d003,5/10/1992,1/1/9999
18422,d006,7/24/1995,1/1/9999
18423,d005,10/16/1999,1/1/9999
18424,d005,6/7/1995,1/1/9999
18425,d004,9/4/1985,1/1/9999
18426,d001,12/7/1989,6/28/1990
18426,d007,11/16/1989,12/7/1989
18427,d002,3/12/1994,1/1/9999
18428,d002,8/7/1985,1/1/9999
18429,d005,4/13/1997,1/1/9999
18430,d007,3/28/1992,1/1/9999
18431,d005,6/8/1991,1/1/9999
18432,d003,5/1/1998,1/1/9999
18433,d004,4/7/1996,1/1/9999
18434,d008,2/5/1986,1/1/9999
18435,d007,6/1/1998,10/31/1999
18436,d004,11/18/1988,5/16/2001
18437,d002,10/4/1985,1/4/1987
18437,d003,1/4/1987,1/1/9999
18438,d006,10/1/1994,1/1/9999
18439,d005,6/5/1990,1/1/9999
18440,d009,1/3/1997,1/1/9999
18441,d005,3/26/1994,1/1/9999
18442,d005,1/9/1987,1/1/9999
18443,d007,10/15/1988,1/1/9999
18444,d008,12/14/1998,3/17/2000
18445,d004,12/14/1990,2/18/1992
18445,d006,2/28/1988,12/14/1990
18446,d005,11/17/1987,1/1/9999
18447,d004,8/24/1997,2/24/2001
18448,d005,5/2/1999,1/1/9999
18449,d004,6/20/1990,1/1/9999
18450,d002,5/19/1985,1/1/9999
18451,d007,7/7/1999,2/28/2000
18452,d008,12/29/1986,1/1/9999
18453,d005,2/21/1990,1/1/9999
18454,d007,7/18/1988,1/1/9999
18455,d004,2/11/1999,1/1/9999
18455,d008,1/16/1998,2/11/1999
18456,d005,7/11/1994,3/10/2002
18457,d004,2/25/1989,1/1/9999
18458,d005,8/3/1997,1/1/9999
18459,d009,4/1/1988,1/1/9999
18460,d007,5/9/1993,1/1/9999
18461,d004,12/11/1993,1/12/1995
18462,d005,2/21/1994,1/1/9999
18463,d001,4/7/1999,1/1/9999
18463,d007,7/9/1998,4/7/1999
18464,d005,10/6/1989,6/25/1997
18465,d005,1/5/1990,1/1/9999
18466,d004,10/10/1993,1/1/9999
18467,d002,11/4/1995,1/1/9999
18468,d005,3/19/1987,1/1/9999
18469,d004,6/9/1994,1/1/9999
18470,d007,1/4/1997,1/1/9999
18471,d001,2/10/1990,5/4/1990
18472,d004,7/28/1996,1/1/9999
18473,d007,9/27/1997,1/1/9999
18474,d001,8/22/1989,1/1/9999
18474,d007,7/29/1987,8/22/1989
18475,d004,10/4/1985,1/1/9999
18476,d004,10/19/1998,1/1/9999
18477,d005,3/26/1988,1/1/9999
18478,d004,5/1/1998,1/1/9999
18479,d007,9/10/1998,1/1/9999
18480,d004,7/6/1998,4/19/2002
18481,d005,10/8/1993,1/1/9999
18482,d003,10/5/1995,1/1/9999
18483,d004,4/19/1994,1/10/1995
18483,d006,1/10/1995,1/1/9999
18484,d007,9/11/1987,1/1/9999
18485,d006,11/14/1987,1/1/9999
18486,d009,3/18/1988,1/1/9999
18487,d008,3/7/1987,1/1/9999
18488,d004,8/4/1995,8/18/1995
18489,d005,5/10/1994,1/1/9999
18490,d007,7/5/1986,1/1/9999
18491,d001,6/27/1996,1/1/9999
18492,d007,4/29/1994,10/6/1996
18493,d004,12/3/1986,1/1/9999
18494,d001,9/8/1997,7/10/1998
18494,d009,7/10/1998,1/1/9999
18495,d005,12/26/1990,1/1/9999
18496,d007,5/31/1999,1/1/9999
18497,d005,8/2/1992,1/1/9999
18498,d004,9/15/1998,1/1/9999
18499,d005,3/27/1991,1/1/9999
18500,d003,9/27/1985,1/14/1997
18501,d005,7/18/1990,1/1/9999
18502,d004,1/1/1987,1/1/9999
18503,d004,3/24/1987,1/1/9999
18504,d005,12/4/1991,11/10/1999
18504,d008,11/10/1999,1/1/9999
18505,d004,10/14/1990,1/1/9999
18506,d005,9/24/1988,1/1/9999
18507,d004,2/7/1988,1/1/9999
18508,d002,3/25/1995,11/1/2000
18509,d004,10/4/1989,1/1/9999
18510,d008,4/20/1998,1/1/9999
18511,d005,11/17/1991,1/1/9999
18512,d007,5/3/1999,8/12/2001
18513,d005,6/17/1988,1/1/9999
18514,d001,7/24/1999,7/20/2001
18515,d002,11/12/1986,9/10/1991
18515,d003,9/10/1991,1/1/9999
18516,d001,5/14/1989,8/9/1989
18517,d005,7/30/1986,1/1/9999
18518,d005,8/30/1999,1/1/9999
18519,d007,11/25/1997,1/1/9999
18520,d004,7/18/1986,1/1/9999
18521,d004,10/6/1989,11/18/1991
18522,d004,2/12/1991,1/1/9999
18523,d002,9/1/1999,1/1/9999
18524,d004,8/11/1994,1/1/9999
18525,d004,7/18/1992,1/1/9999
18525,d005,9/5/1985,7/18/1992
18526,d003,2/1/1991,1/1/9999
18527,d007,2/6/1986,1/1/9999
18528,d005,2/27/1986,1/1/9999
18529,d005,1/30/1993,2/18/1999
18530,d005,4/2/1994,1/1/9999
18531,d007,5/24/1989,2/26/1991
18532,d002,6/3/1999,1/1/9999
18533,d004,4/16/1992,12/3/1999
18534,d004,11/8/1986,1/1/9999
18535,d005,2/8/1989,6/25/1992
18535,d008,6/25/1992,1/1/9999
18536,d005,12/4/1994,1/1/9999
18537,d003,3/21/1989,1/1/9999
18538,d007,10/3/1994,1/1/9999
18539,d007,8/26/1991,6/22/1995
18540,d008,9/2/1991,1/1/9999
18541,d006,6/23/1999,1/1/9999
18542,d005,5/16/1987,1/1/9999
18543,d004,11/15/2000,1/1/9999
18543,d005,11/11/1997,11/15/2000
18544,d008,3/2/1999,1/1/9999
18545,d005,5/8/1998,1/1/9999
18546,d005,4/17/1992,5/24/1997
18547,d004,6/3/1986,1/1/9999
18548,d005,9/9/1999,1/1/9999
18549,d004,12/19/1996,1/1/9999
18550,d002,6/7/1997,1/1/9999
18551,d006,6/18/1998,1/1/9999
18552,d004,7/26/1999,8/21/2001
18552,d006,8/21/2001,1/1/9999
18553,d008,8/28/1999,5/13/2002
18554,d007,2/16/1993,1/1/9999
18555,d001,5/1/1989,1/1/9999
18556,d005,4/13/1994,1/1/9999
18557,d007,4/10/1992,1/1/9999
18558,d005,7/16/1986,1/1/9999
18559,d008,3/9/1996,1/1/9999
18560,d004,5/3/1999,10/20/2001
18561,d004,4/24/1986,1/1/9999
18562,d004,2/12/1999,10/31/2001
18562,d006,10/31/2001,1/1/9999
18563,d004,1/21/1996,1/1/9999
18564,d004,7/23/1992,1/1/9999
18565,d002,8/29/1993,1/1/9999
18566,d005,8/8/1990,1/1/9999
18567,d009,2/25/1992,1/1/9999
18568,d008,9/4/1998,10/12/2001
18569,d004,4/8/1992,1/1/9999
18570,d004,3/22/1999,8/3/2001
18570,d006,8/3/2001,1/1/9999
18571,d005,4/14/1987,1/1/9999
18572,d008,5/13/1988,1/1/9999
18573,d002,4/16/1998,1/1/9999
18574,d006,4/21/1988,1/1/9999
18575,d001,11/12/1986,1/1/9999
18576,d005,1/9/1997,1/1/9999
18577,d005,1/7/1986,2/7/1994
18578,d004,8/13/1988,1/1/9999
18579,d008,4/29/1995,1/1/9999
18580,d004,9/18/1997,1/1/9999
18581,d007,7/23/1987,2/2/1993
18581,d009,2/2/1993,1/1/9999
18582,d007,11/19/1998,1/1/9999
18583,d009,8/16/1998,1/1/9999
18584,d005,7/1/1993,1/1/9999
18585,d004,3/15/1995,1/3/2001
18586,d008,2/8/1999,1/1/9999
18587,d005,4/12/1997,1/1/9999
18588,d001,7/2/1986,1/1/9999
18589,d005,6/10/1995,1/1/9999
18590,d001,7/13/2000,1/1/9999
18590,d007,1/21/1997,7/13/2000
18591,d007,7/18/1998,1/1/9999
18592,d004,7/26/1994,7/19/1996
18593,d001,11/3/1989,1/1/9999
18594,d004,5/26/1993,1/1/9999
18595,d002,4/12/1988,1/1/9999
18596,d009,5/2/1991,1/1/9999
18597,d007,5/30/1989,1/1/9999
18598,d005,6/20/1994,1/1/9999
18599,d003,9/4/1997,1/1/9999
18600,d005,10/18/1996,5/21/1999
18601,d002,7/6/1985,5/18/1993
18601,d007,5/18/1993,1/1/9999
18602,d007,7/5/1989,1/1/9999
18603,d007,4/7/1992,1/1/9999
18604,d005,5/8/1998,1/1/9999
18605,d003,3/18/1997,2/15/2000
18606,d004,10/13/1995,1/1/9999
18607,d007,6/10/1985,1/1/9999
18608,d004,4/11/1991,1/1/9999
18609,d005,12/15/1994,1/1/9999
18609,d009,9/17/1991,12/15/1994
18610,d004,4/11/1990,1/1/9999
18611,d003,5/16/1996,1/1/9999
18612,d007,4/28/1988,6/5/1992
18613,d005,7/13/1986,1/1/9999
18614,d005,5/10/1991,1/1/9999
18615,d006,5/28/1992,1/1/9999
18616,d003,12/27/1994,6/14/2002
18617,d003,4/24/1989,1/1/9999
18618,d005,10/26/1986,1/1/9999
18619,d004,10/8/1993,8/15/1999
18619,d009,8/15/1999,1/1/9999
18620,d003,5/10/1990,1/1/9999
18621,d004,5/23/1998,1/1/9999
18622,d004,2/3/1987,1/1/9999
18623,d004,2/18/1999,9/22/1999
18624,d005,4/29/1998,1/1/9999
18625,d005,10/12/1989,1/1/9999
18626,d005,6/1/1993,1/1/9999
18627,d006,8/4/1993,1/1/9999
18628,d007,2/5/1990,1/1/9999
18629,d005,10/27/1988,1/21/1989
18629,d008,1/21/1989,1/1/9999
18630,d005,11/20/1985,1/28/1990
18631,d005,7/14/1986,1/1/9999
18632,d005,6/7/1991,1/1/9999
18633,d003,8/5/1992,1/1/9999
18634,d007,1/25/2000,1/1/9999
18635,d004,5/4/1995,1/1/9999
18636,d005,3/8/1992,1/1/9999
18637,d004,1/21/1992,1/1/9999
18638,d001,10/27/2001,1/1/9999
18638,d003,11/3/1988,10/27/2001
18639,d007,1/17/1992,5/29/1998
18640,d004,1/30/1996,1/1/9999
18641,d007,1/11/1991,1/1/9999
18642,d004,10/15/1987,1/1/9999
18643,d004,10/22/1988,1/1/9999
18644,d004,5/12/1985,1/1/9999
18645,d005,5/22/1992,1/1/9999
18646,d009,1/26/1998,1/1/9999
18647,d005,8/1/1994,6/28/1999
18648,d004,5/12/1988,4/29/1996
18648,d006,4/29/1996,1/1/9999
18649,d009,3/29/1985,1/1/9999
18650,d002,5/19/1990,1/1/9999
18651,d004,6/21/1999,1/1/9999
18652,d007,6/28/1997,1/1/9999
18653,d009,5/28/1990,6/1/2000
18654,d005,11/1/1991,1/1/9999
18655,d004,12/25/1994,7/20/2002
18656,d004,4/9/1991,1/1/9999
18657,d007,4/24/1995,1/1/9999
18658,d004,1/6/1999,1/1/9999
18658,d009,3/29/1995,1/6/1999
18659,d007,11/22/1992,1/1/9999
18660,d005,6/6/1996,1/1/9999
18661,d005,3/16/1988,1/1/9999
18662,d009,4/14/1996,4/27/1999
18663,d004,6/20/1987,1/1/9999
18664,d007,12/31/1989,1/1/9999
18665,d003,9/17/1995,1/1/9999
18666,d005,11/2/1989,1/1/9999
18666,d008,5/24/1989,11/2/1989
18667,d008,7/15/1995,8/9/1995
18668,d005,6/5/1996,1/1/9999
18669,d005,11/18/1996,1/1/9999
18670,d003,2/9/1992,1/1/9999
18671,d005,5/4/1986,1/1/9999
18672,d004,8/11/1986,1/1/9999
18673,d005,4/24/1996,1/1/9999
18674,d005,11/13/1995,1/1/9999
18675,d008,2/2/1998,12/20/1998
18676,d003,7/31/1998,1/1/9999
18677,d004,4/28/1993,12/22/1994
18677,d006,12/22/1994,8/16/1995
18678,d008,10/17/1997,1/1/9999
18679,d007,11/28/1990,1/1/9999
