emp_no,salary,from_date,to_date
11957,79590,3/31/2002,1/1/9999
11958,57996,10/13/1991,10/12/1992
11958,60600,10/12/1992,10/12/1993
11958,60406,10/12/1993,10/12/1994
11958,64015,10/12/1994,10/12/1995
11958,67164,10/12/1995,10/11/1996
11958,69763,10/11/1996,10/11/1997
11958,72660,10/11/1997,10/11/1998
11958,75685,10/11/1998,10/11/1999
11958,76800,10/11/1999,10/10/2000
11958,78705,10/10/2000,10/10/2001
11958,81303,10/10/2001,1/1/9999
11959,47935,7/28/1996,7/28/1997
11959,50624,7/28/1997,7/28/1998
11959,53602,7/28/1998,7/28/1999
11959,53780,7/28/1999,7/27/2000
11959,57707,7/27/2000,7/27/2001
11959,57270,7/27/2001,5/6/2002
11960,40000,7/28/1988,7/28/1989
11960,39896,7/28/1989,7/28/1990
11960,40112,7/28/1990,7/28/1991
11960,40448,7/28/1991,7/27/1992
11960,41830,7/27/1992,7/27/1993
11960,44463,7/27/1993,7/27/1994
11960,45661,7/27/1994,7/27/1995
11960,49789,7/27/1995,7/26/1996
11960,50749,7/26/1996,7/26/1997
11960,54514,7/26/1997,7/26/1998
11960,56477,7/26/1998,7/26/1999
11960,57029,7/26/1999,7/25/2000
11960,59320,7/25/2000,7/25/2001
11960,61142,7/25/2001,7/25/2002
11960,64559,7/25/2002,1/1/9999
11961,83539,6/26/1997,6/26/1998
11961,83358,6/26/1998,6/26/1999
11961,85790,6/26/1999,6/25/2000
11961,88687,6/25/2000,6/25/2001
11961,90468,6/25/2001,6/25/2002
11961,93706,6/25/2002,1/1/9999
11962,40000,10/30/1988,10/29/1989
11962,42147,10/29/1989,10/29/1990
11962,43706,10/29/1990,10/29/1991
11962,44744,10/29/1991,10/28/1992
11962,46452,10/28/1992,10/29/1993
11962,50119,10/29/1993,10/29/1994
11962,52165,10/29/1994,10/29/1995
11962,55462,10/29/1995,10/27/1996
11962,57529,10/27/1996,10/27/1997
11962,58262,10/27/1997,10/27/1998
11962,60549,10/27/1998,10/28/1999
11962,60838,10/28/1999,10/27/2000
11962,64999,10/27/2000,10/27/2001
11962,69336,10/27/2001,1/1/9999
11963,40000,9/17/1989,9/17/1990
11963,42712,9/17/1990,9/17/1991
11963,45115,9/17/1991,9/16/1992
11963,49177,9/16/1992,9/16/1993
11963,51264,9/16/1993,9/16/1994
11963,55054,9/16/1994,9/16/1995
11963,58986,9/16/1995,9/15/1996
11963,60520,9/15/1996,9/15/1997
11963,60801,9/15/1997,11/19/1997
11964,71667,3/19/1998,3/19/1999
11964,72529,3/19/1999,6/13/1999
11965,57709,10/7/1993,10/7/1994
11965,61946,10/7/1994,10/7/1995
11965,64696,10/7/1995,10/6/1996
11965,64762,10/6/1996,10/6/1997
11965,66967,10/6/1997,10/6/1998
11965,66564,10/6/1998,10/6/1999
11965,68771,10/6/1999,10/5/2000
11965,71783,10/5/2000,10/5/2001
11965,72925,10/5/2001,1/1/9999
11966,61626,1/20/1987,1/20/1988
11966,66005,1/20/1988,1/19/1989
11966,67052,1/19/1989,1/19/1990
11966,68603,1/19/1990,1/19/1991
11966,69341,1/19/1991,1/19/1992
11966,72356,1/19/1992,1/18/1993
11966,74567,1/18/1993,1/18/1994
11966,76071,1/18/1994,1/18/1995
11966,75868,1/18/1995,1/18/1996
11966,76840,1/18/1996,1/17/1997
11966,78264,1/17/1997,1/17/1998
11966,80109,1/17/1998,1/17/1999
11966,82011,1/17/1999,1/17/2000
11966,85548,1/17/2000,1/16/2001
11966,87155,1/16/2001,1/16/2002
11966,88567,1/16/2002,1/1/9999
11967,40000,8/23/1997,8/23/1998
11967,39752,8/23/1998,8/23/1999
11967,40543,8/23/1999,8/22/2000
11967,42631,8/22/2000,8/22/2001
11967,45706,8/22/2001,1/1/9999
11968,65439,8/8/1995,8/7/1996
11968,65803,8/7/1996,8/7/1997
11968,66355,8/7/1997,8/7/1998
11968,69347,8/7/1998,8/7/1999
11968,72512,8/7/1999,8/6/2000
11968,75069,8/6/2000,8/6/2001
11968,78541,8/6/2001,1/1/9999
11969,91787,4/15/1998,4/15/1999
11969,96011,4/15/1999,4/14/2000
11969,98658,4/14/2000,4/14/2001
11969,100389,4/14/2001,4/14/2002
11969,101046,4/14/2002,1/1/9999
11970,40000,2/28/1993,2/28/1994
11970,42790,2/28/1994,9/13/1994
11971,40000,11/11/1987,11/10/1988
11971,41599,11/10/1988,11/10/1989
11971,44755,11/10/1989,11/10/1990
11971,49161,11/10/1990,11/10/1991
11971,50724,11/10/1991,11/9/1992
11971,50764,11/9/1992,11/9/1993
11971,54620,11/9/1993,11/9/1994
11971,56317,11/9/1994,11/9/1995
11971,58537,11/9/1995,11/8/1996
11971,59599,11/8/1996,11/8/1997
11971,59297,11/8/1997,11/8/1998
11971,62315,11/8/1998,11/8/1999
11971,62096,11/8/1999,11/7/2000
11971,63604,11/7/2000,11/7/2001
11971,67112,11/7/2001,1/1/9999
11972,52908,4/25/1994,4/25/1995
11972,53951,4/25/1995,4/24/1996
11972,55030,4/24/1996,4/24/1997
11972,56187,4/24/1997,4/24/1998
11972,58014,4/24/1998,4/24/1999
11972,62450,4/24/1999,4/23/2000
11972,61973,4/23/2000,4/23/2001
11972,65454,4/23/2001,4/23/2002
11972,67924,4/23/2002,1/1/9999
11973,40000,4/13/1989,4/13/1990
11973,41713,4/13/1990,4/13/1991
11973,45460,4/13/1991,4/12/1992
11973,45028,4/12/1992,4/12/1993
11973,47196,4/12/1993,4/12/1994
11973,50983,4/12/1994,4/12/1995
11973,54026,4/12/1995,4/11/1996
11973,55750,4/11/1996,4/11/1997
11973,59151,4/11/1997,4/11/1998
11973,60355,4/11/1998,4/11/1999
11973,63400,4/11/1999,4/10/2000
11973,63016,4/10/2000,4/10/2001
11973,64994,4/10/2001,4/10/2002
11973,68591,4/10/2002,1/1/9999
11974,61173,7/23/1989,7/23/1990
11974,61927,7/23/1990,7/23/1991
11974,61462,7/23/1991,7/22/1992
11974,63527,7/22/1992,7/22/1993
11974,67674,7/22/1993,7/22/1994
11974,71523,7/22/1994,7/22/1995
11974,73030,7/22/1995,7/21/1996
11974,76167,7/21/1996,7/21/1997
11974,77211,7/21/1997,7/21/1998
11974,77407,7/21/1998,7/21/1999
11974,76973,7/21/1999,7/20/2000
11974,80697,7/20/2000,7/20/2001
11974,81850,7/20/2001,7/20/2002
11974,81455,7/20/2002,1/1/9999
11975,40000,3/24/1991,3/23/1992
11975,42405,3/23/1992,3/23/1993
11975,42387,3/23/1993,3/23/1994
11975,45423,3/23/1994,3/23/1995
11975,46612,3/23/1995,3/22/1996
11975,46645,3/22/1996,3/22/1997
11975,49451,3/22/1997,3/22/1998
11975,51909,3/22/1998,3/22/1999
11975,53035,3/22/1999,3/21/2000
11975,54838,3/21/2000,3/21/2001
11975,55476,3/21/2001,3/21/2002
11975,58867,3/21/2002,1/1/9999
11976,70345,10/8/1986,10/8/1987
11976,72546,10/8/1987,10/7/1988
11976,74934,10/7/1988,10/7/1989
11976,76102,10/7/1989,10/7/1990
11976,77322,10/7/1990,10/7/1991
11976,80667,10/7/1991,10/6/1992
11976,80487,10/6/1992,10/6/1993
11976,84339,10/6/1993,10/6/1994
11976,86893,10/6/1994,10/6/1995
11976,91085,10/6/1995,10/5/1996
11976,94830,10/5/1996,10/5/1997
11976,96365,10/5/1997,10/5/1998
11976,98979,10/5/1998,10/5/1999
11976,100862,10/5/1999,10/4/2000
11976,103256,10/4/2000,10/4/2001
11976,106757,10/4/2001,1/1/9999
11977,40000,6/14/1991,6/13/1992
11977,41626,6/13/1992,6/13/1993
11977,46076,6/13/1993,6/13/1994
11977,49695,6/13/1994,6/13/1995
11977,53647,6/13/1995,6/12/1996
11977,54692,6/12/1996,6/12/1997
11977,57293,6/12/1997,6/12/1998
11977,60803,6/12/1998,6/12/1999
11977,65062,6/12/1999,6/11/2000
11977,68753,6/11/2000,6/11/2001
11977,72958,6/11/2001,6/11/2002
11977,73717,6/11/2002,1/1/9999
11978,56414,6/25/1991,6/24/1992
11978,60744,6/24/1992,6/24/1993
11978,64875,6/24/1993,4/25/1994
11979,50796,6/7/1998,6/7/1999
11979,54315,6/7/1999,6/6/2000
11979,55232,6/6/2000,6/6/2001
11979,58329,6/6/2001,6/6/2002
11979,59986,6/6/2002,1/1/9999
11980,58241,2/18/1998,2/18/1999
11980,58263,2/18/1999,2/18/2000
11980,60423,2/18/2000,2/17/2001
11980,60831,2/17/2001,2/17/2002
11980,64125,2/17/2002,1/1/9999
11981,42925,9/14/1990,9/14/1991
11981,42683,9/14/1991,9/13/1992
11981,45670,9/13/1992,9/13/1993
11981,48286,9/13/1993,9/13/1994
11981,51412,9/13/1994,9/13/1995
11981,51666,9/13/1995,9/12/1996
11981,54178,9/12/1996,9/12/1997
11981,55913,9/12/1997,9/12/1998
11981,57995,9/12/1998,9/12/1999
11981,61378,9/12/1999,9/11/2000
11981,62042,9/11/2000,9/11/2001
11981,65413,9/11/2001,1/1/9999
11982,40000,12/17/1985,12/17/1986
11982,44015,12/17/1986,12/17/1987
11982,48082,12/17/1987,12/16/1988
11982,51757,12/16/1988,12/16/1989
11982,53236,12/16/1989,12/16/1990
11982,52819,12/16/1990,12/16/1991
11982,54123,12/16/1991,12/15/1992
11982,53777,12/15/1992,12/15/1993
11982,57474,12/15/1993,12/15/1994
11982,61390,12/15/1994,12/15/1995
11982,63210,12/15/1995,12/14/1996
11982,63169,12/14/1996,12/14/1997
11982,67333,12/14/1997,12/14/1998
11982,69885,12/14/1998,12/14/1999
11982,70512,12/14/1999,12/13/2000
11982,74820,12/13/2000,12/13/2001
11982,76506,12/13/2001,1/1/9999
11983,40000,10/11/1986,10/11/1987
11983,42444,10/11/1987,10/10/1988
11983,44241,10/10/1988,10/10/1989
11983,45508,10/10/1989,10/10/1990
11983,45162,10/10/1990,10/10/1991
11983,46259,10/10/1991,10/9/1992
11983,48364,10/9/1992,10/9/1993
11983,49213,10/9/1993,10/9/1994
11983,49537,10/9/1994,10/9/1995
11983,51596,10/9/1995,10/8/1996
11983,51176,10/8/1996,10/8/1997
11983,53572,10/8/1997,10/8/1998
11983,53551,10/8/1998,10/8/1999
11983,57612,10/8/1999,10/7/2000
11983,61167,10/7/2000,10/7/2001
11983,65059,10/7/2001,1/1/9999
11984,59501,5/22/1997,5/22/1998
11984,62463,5/22/1998,5/22/1999
11984,66539,5/22/1999,5/21/2000
11984,69122,5/21/2000,5/21/2001
11984,72183,5/21/2001,5/21/2002
11984,74005,5/21/2002,1/1/9999
11985,40000,12/18/1985,12/18/1986
11985,41431,12/18/1986,12/18/1987
11985,42870,12/18/1987,12/17/1988
11985,44281,12/17/1988,12/17/1989
11985,46871,12/17/1989,12/17/1990
11985,47773,12/17/1990,12/17/1991
11985,51269,12/17/1991,12/16/1992
11985,55687,12/16/1992,12/16/1993
11985,59441,12/16/1993,12/16/1994
11985,61873,12/16/1994,12/16/1995
11985,61818,12/16/1995,12/15/1996
11985,61417,12/15/1996,12/15/1997
11985,61035,12/15/1997,12/15/1998
11985,64714,12/15/1998,12/15/1999
11985,67398,12/15/1999,12/14/2000
11985,71569,12/14/2000,12/14/2001
11985,75125,12/14/2001,1/1/9999
11986,48563,8/6/1991,8/5/1992
11986,52684,8/5/1992,8/5/1993
11986,55936,8/5/1993,8/5/1994
11986,56210,8/5/1994,8/5/1995
11986,60344,8/5/1995,8/4/1996
11986,61215,8/4/1996,8/4/1997
11986,62001,8/4/1997,8/4/1998
11986,65526,8/4/1998,8/4/1999
11986,67727,8/4/1999,8/3/2000
11986,69357,8/3/2000,8/3/2001
11986,72224,8/3/2001,1/1/9999
11987,40000,10/17/1988,10/17/1989
11987,39781,10/17/1989,10/17/1990
11987,39597,10/17/1990,10/17/1991
11987,44095,10/17/1991,10/16/1992
11987,48161,10/16/1992,10/16/1993
11987,48730,10/16/1993,10/16/1994
11987,51055,10/16/1994,10/16/1995
11987,53457,10/16/1995,10/15/1996
11987,56614,10/15/1996,10/15/1997
11987,56172,10/15/1997,12/4/1997
11988,57652,11/3/1985,11/3/1986
11988,60637,11/3/1986,11/3/1987
11988,62670,11/3/1987,11/2/1988
11988,63912,11/2/1988,11/2/1989
11988,64784,11/2/1989,11/2/1990
11988,65069,11/2/1990,11/2/1991
11988,68113,11/2/1991,11/1/1992
11988,72611,11/1/1992,11/1/1993
11988,72376,11/1/1993,11/1/1994
11988,73875,11/1/1994,11/1/1995
11988,77048,11/1/1995,10/31/1996
11988,78903,10/31/1996,10/31/1997
11988,81249,10/31/1997,10/31/1998
11988,83367,10/31/1998,10/31/1999
11988,87022,10/31/1999,10/30/2000
11988,86695,10/30/2000,10/30/2001
11988,90400,10/30/2001,12/31/2001
11989,40000,1/7/1989,1/7/1990
11989,44429,1/7/1990,1/7/1991
11989,46427,1/7/1991,1/7/1992
11989,48847,1/7/1992,1/6/1993
11989,51520,1/6/1993,1/6/1994
11989,51519,1/6/1994,1/6/1995
11989,52255,1/6/1995,1/6/1996
11989,52663,1/6/1996,1/5/1997
11989,54580,1/5/1997,1/5/1998
11989,54323,1/5/1998,1/5/1999
11989,55561,1/5/1999,1/5/2000
11989,58450,1/5/2000,1/4/2001
11989,62314,1/4/2001,1/4/2002
11989,64328,1/4/2002,1/1/9999
11990,63106,9/5/1988,9/5/1989
11990,64174,9/5/1989,9/5/1990
11990,66376,9/5/1990,9/5/1991
11990,67501,9/5/1991,9/4/1992
11990,70950,9/4/1992,9/4/1993
11990,72594,9/4/1993,9/4/1994
11990,74787,9/4/1994,9/4/1995
11990,74514,9/4/1995,9/3/1996
11990,78852,9/3/1996,9/3/1997
11990,78993,9/3/1997,9/3/1998
11990,80836,9/3/1998,9/3/1999
11990,85331,9/3/1999,9/2/2000
11990,85226,9/2/2000,9/2/2001
11990,85930,9/2/2001,1/1/9999
11991,61223,9/29/1985,9/29/1986
11991,64112,9/29/1986,9/29/1987
11991,67421,9/29/1987,9/28/1988
11991,68582,9/28/1988,9/28/1989
11991,68597,9/28/1989,9/28/1990
11991,71840,9/28/1990,9/28/1991
11991,72686,9/28/1991,9/27/1992
11991,76889,9/27/1992,9/27/1993
11991,78069,9/27/1993,9/27/1994
11991,79235,9/27/1994,9/27/1995
11991,81849,9/27/1995,9/26/1996
11991,85769,9/26/1996,9/26/1997
11991,88498,9/26/1997,9/26/1998
11991,92002,9/26/1998,9/26/1999
11991,93755,9/26/1999,9/25/2000
11991,97774,9/25/2000,9/25/2001
11991,98998,9/25/2001,1/1/9999
11992,40000,9/22/1991,9/21/1992
11992,39747,9/21/1992,9/21/1993
11992,43881,9/21/1993,9/21/1994
11992,46571,9/21/1994,9/21/1995
11992,48187,9/21/1995,9/20/1996
11992,50532,9/20/1996,9/20/1997
11992,52247,9/20/1997,9/20/1998
11992,56308,9/20/1998,9/20/1999
11992,60346,9/20/1999,9/19/2000
11992,62796,9/19/2000,9/19/2001
11992,62813,9/19/2001,1/1/9999
11993,56505,10/22/1996,10/22/1997
11993,60312,10/22/1997,10/22/1998
11993,64435,10/22/1998,10/22/1999
11993,68731,10/22/1999,10/21/2000
11993,71554,10/21/2000,10/21/2001
11993,74702,10/21/2001,1/1/9999
11994,49761,11/11/1993,11/11/1994
11994,51099,11/11/1994,11/11/1995
11994,51518,11/11/1995,11/10/1996
11994,52414,11/10/1996,11/10/1997
11994,56467,11/10/1997,11/10/1998
11994,57501,11/10/1998,11/10/1999
11994,61795,11/10/1999,11/9/2000
11994,63384,11/9/2000,11/9/2001
11994,63072,11/9/2001,1/1/9999
11995,55714,1/19/1998,1/19/1999
11995,56811,1/19/1999,1/19/2000
11995,58119,1/19/2000,1/18/2001
11995,60821,1/18/2001,1/18/2002
11995,63812,1/18/2002,6/19/2002
11996,52870,1/21/1994,1/21/1995
11996,56037,1/21/1995,1/21/1996
11996,59621,1/21/1996,1/20/1997
11996,61489,1/20/1997,1/20/1998
11996,64310,1/20/1998,1/20/1999
11996,65616,1/20/1999,1/20/2000
11996,69549,1/20/2000,1/19/2001
11996,71544,1/19/2001,1/19/2002
11996,72826,1/19/2002,1/1/9999
11997,40000,2/21/1999,8/6/1999
11998,58617,12/16/1991,12/15/1992
11998,61570,12/15/1992,12/15/1993
11998,65623,12/15/1993,12/15/1994
11998,69684,12/15/1994,12/15/1995
11998,72359,12/15/1995,12/14/1996
11998,75104,12/14/1996,12/14/1997
11998,77260,12/14/1997,12/14/1998
11998,77890,12/14/1998,12/14/1999
11998,81944,12/14/1999,12/13/2000
11998,86407,12/13/2000,12/13/2001
11998,86831,12/13/2001,1/1/9999
11999,40000,7/21/1996,7/21/1997
11999,41997,7/21/1997,7/21/1998
11999,46440,7/21/1998,7/21/1999
11999,46449,7/21/1999,7/20/2000
11999,49471,7/20/2000,7/20/2001
11999,51265,7/20/2001,3/16/2002
12000,50678,12/11/1989,12/11/1990
12000,50358,12/11/1990,12/11/1991
12000,52143,12/11/1991,12/10/1992
12000,53059,12/10/1992,12/10/1993
12000,53263,12/10/1993,12/10/1994
12000,55498,12/10/1994,12/10/1995
12000,56757,12/10/1995,12/9/1996
12000,57190,12/9/1996,12/9/1997
12000,57911,12/9/1997,12/9/1998
12000,58423,12/9/1998,12/9/1999
12000,60274,12/9/1999,12/8/2000
12000,63566,12/8/2000,12/8/2001
12000,64026,12/8/2001,1/1/9999
12001,71467,6/28/1993,6/28/1994
12001,71390,6/28/1994,6/28/1995
12001,74843,6/28/1995,6/27/1996
12001,76694,6/27/1996,6/27/1997
12001,76340,6/27/1997,6/27/1998
12001,79778,6/27/1998,6/27/1999
12001,83843,6/27/1999,6/26/2000
12001,88268,6/26/2000,6/26/2001
12001,91099,6/26/2001,6/26/2002
12001,93524,6/26/2002,1/1/9999
12002,42654,10/14/1994,10/14/1995
12002,43690,10/14/1995,10/13/1996
12002,45521,10/13/1996,9/26/1997
12003,59540,11/20/1992,11/20/1993
12003,62305,11/20/1993,11/20/1994
12003,66630,11/20/1994,11/20/1995
12003,66993,11/20/1995,11/19/1996
12003,69783,11/19/1996,11/19/1997
12003,72384,11/19/1997,11/19/1998
12003,74515,11/19/1998,11/19/1999
12003,76850,11/19/1999,11/18/2000
12003,79224,11/18/2000,11/18/2001
12003,82535,11/18/2001,1/1/9999
12004,58136,1/11/1997,1/11/1998
12004,59807,1/11/1998,1/11/1999
12004,60374,1/11/1999,1/11/2000
12004,59881,1/11/2000,1/10/2001
12004,60657,1/10/2001,1/10/2002
12004,62102,1/10/2002,1/1/9999
12005,46505,6/28/1997,6/28/1998
12005,50644,6/28/1998,6/28/1999
12005,52036,6/28/1999,6/27/2000
12005,53007,6/27/2000,6/27/2001
12005,54095,6/27/2001,6/27/2002
12005,58215,6/27/2002,1/1/9999
12006,44032,5/8/1998,5/8/1999
12006,43885,5/8/1999,5/7/2000
12006,45976,5/7/2000,5/7/2001
12006,49615,5/7/2001,5/7/2002
12006,50821,5/7/2002,1/1/9999
12007,40000,5/17/1989,5/17/1990
12007,41794,5/17/1990,5/17/1991
12007,46060,5/17/1991,5/16/1992
12007,49446,5/16/1992,5/16/1993
12007,50066,5/16/1993,5/16/1994
12007,53428,5/16/1994,5/16/1995
12007,54122,5/16/1995,5/15/1996
12007,54593,5/15/1996,5/15/1997
12007,58280,5/15/1997,5/15/1998
12007,58241,5/15/1998,5/15/1999
12007,61898,5/15/1999,5/14/2000
12007,62301,5/14/2000,5/14/2001
12007,64992,5/14/2001,5/14/2002
12007,66927,5/14/2002,1/1/9999
12008,68535,8/7/1991,8/6/1992
12008,68459,8/6/1992,3/24/1993
12009,55614,9/22/1998,9/22/1999
12009,56899,9/22/1999,9/21/2000
12009,58603,9/21/2000,9/21/2001
12009,62243,9/21/2001,1/1/9999
12010,40000,9/2/1989,9/2/1990
12010,42414,9/2/1990,9/2/1991
12010,46286,9/2/1991,9/1/1992
12010,47418,9/1/1992,9/1/1993
12010,48998,9/1/1993,9/1/1994
12010,52880,9/1/1994,9/1/1995
12010,52426,9/1/1995,8/31/1996
12010,54993,8/31/1996,8/31/1997
12010,55503,8/31/1997,8/31/1998
12010,59107,8/31/1998,8/31/1999
12010,63023,8/31/1999,8/30/2000
12010,66426,8/30/2000,8/30/2001
12010,66114,8/30/2001,1/1/9999
12011,85833,7/22/1988,7/22/1989
12011,85518,7/22/1989,7/22/1990
12011,89532,7/22/1990,7/22/1991
12011,91910,7/22/1991,7/21/1992
12011,91868,7/21/1992,7/21/1993
12011,94547,7/21/1993,7/21/1994
12011,94567,7/21/1994,7/21/1995
12011,97394,7/21/1995,7/20/1996
12011,98392,7/20/1996,7/20/1997
12011,99013,7/20/1997,7/20/1998
12011,102030,7/20/1998,7/20/1999
12011,102020,7/20/1999,7/19/2000
12011,103841,7/19/2000,7/19/2001
12011,105371,7/19/2001,7/19/2002
12011,108904,7/19/2002,1/1/9999
12012,72898,1/14/1993,1/14/1994
12012,75027,1/14/1994,1/14/1995
12012,76650,1/14/1995,1/14/1996
12012,78239,1/14/1996,1/13/1997
12012,79771,1/13/1997,1/13/1998
12012,82362,1/13/1998,1/13/1999
12012,84479,1/13/1999,1/13/2000
12012,85482,1/13/2000,1/12/2001
12012,87547,1/12/2001,1/12/2002
12012,88722,1/12/2002,1/1/9999
12013,70615,8/6/1990,8/6/1991
12013,72419,8/6/1991,8/5/1992
12013,71952,8/5/1992,8/5/1993
12013,73979,8/5/1993,8/5/1994
12013,77343,8/5/1994,8/5/1995
12013,79380,8/5/1995,8/4/1996
12013,79605,8/4/1996,8/4/1997
12013,81926,8/4/1997,8/4/1998
12013,81929,8/4/1998,8/4/1999
12013,86202,8/4/1999,8/3/2000
12013,88982,8/3/2000,8/3/2001
12013,90248,8/3/2001,1/1/9999
12014,55769,10/11/1988,10/11/1989
12014,58770,10/11/1989,10/11/1990
12014,61489,10/11/1990,10/11/1991
12014,63731,10/11/1991,10/10/1992
12014,67986,10/10/1992,10/10/1993
12014,67530,10/10/1993,10/10/1994
12014,68901,10/10/1994,10/10/1995
12014,73358,10/10/1995,10/9/1996
12014,74913,10/9/1996,10/9/1997
12014,77929,10/9/1997,10/9/1998
12014,77495,10/9/1998,10/9/1999
12014,79320,10/9/1999,10/8/2000
12014,79891,10/8/2000,10/8/2001
12014,83503,10/8/2001,1/1/9999
12015,42853,11/16/1999,11/15/2000
12015,43178,11/15/2000,11/15/2001
12015,44595,11/15/2001,1/1/9999
12016,42839,2/18/1997,2/18/1998
12016,43947,2/18/1998,2/18/1999
12016,44084,2/18/1999,2/18/2000
12016,45218,2/18/2000,2/17/2001
12016,47658,2/17/2001,2/17/2002
12016,49606,2/17/2002,1/1/9999
12017,50760,6/21/1992,6/21/1993
12017,52813,6/21/1993,6/21/1994
12017,55134,6/21/1994,6/21/1995
12017,56488,6/21/1995,6/20/1996
12017,55999,6/20/1996,6/20/1997
12017,58230,6/20/1997,6/20/1998
12017,62092,6/20/1998,12/3/1998
12018,46011,4/25/1999,4/24/2000
12018,46738,4/24/2000,4/24/2001
12018,46283,4/24/2001,4/24/2002
12018,47427,4/24/2002,1/1/9999
12019,40000,2/17/1986,2/17/1987
12019,42259,2/17/1987,2/17/1988
12019,44274,2/17/1988,2/16/1989
12019,44755,2/16/1989,2/16/1990
12019,47288,2/16/1990,2/16/1991
12019,47433,2/16/1991,2/16/1992
12019,50446,2/16/1992,2/15/1993
12019,53074,2/15/1993,2/15/1994
12019,56704,2/15/1994,2/15/1995
12019,59058,2/15/1995,2/15/1996
12019,61776,2/15/1996,2/14/1997
12019,62153,2/14/1997,2/14/1998
12019,62283,2/14/1998,2/14/1999
12019,65841,2/14/1999,2/14/2000
12019,65501,2/14/2000,2/13/2001
12019,65899,2/13/2001,2/13/2002
12019,67883,2/13/2002,1/1/9999
12020,73508,8/9/1988,8/9/1989
12020,77470,8/9/1989,8/9/1990
12020,77028,8/9/1990,8/9/1991
12020,79211,8/9/1991,8/8/1992
12020,80184,8/8/1992,8/8/1993
12020,81383,8/8/1993,8/8/1994
12020,85706,8/8/1994,8/8/1995
12020,89061,8/8/1995,8/7/1996
12020,88840,8/7/1996,8/7/1997
12020,92125,8/7/1997,8/7/1998
12020,94144,8/7/1998,8/7/1999
12020,95040,8/7/1999,8/6/2000
12020,94924,8/6/2000,8/6/2001
12020,99393,8/6/2001,1/1/9999
12021,40000,9/30/1991,9/29/1992
12021,41384,9/29/1992,9/29/1993
12021,42159,9/29/1993,9/29/1994
12021,44430,9/29/1994,9/29/1995
12021,47266,9/29/1995,9/28/1996
12021,47154,9/28/1996,9/28/1997
12021,49705,9/28/1997,9/28/1998
12021,50004,9/28/1998,9/28/1999
12021,50782,9/28/1999,9/27/2000
12021,51925,9/27/2000,9/27/2001
12021,54064,9/27/2001,1/1/9999
12022,63140,1/18/1998,1/18/1999
12022,66694,1/18/1999,1/18/2000
12022,68530,1/18/2000,1/17/2001
12022,69188,1/17/2001,1/17/2002
12022,69512,1/17/2002,1/1/9999
12023,40000,12/8/1994,12/8/1995
12023,39748,12/8/1995,12/7/1996
12023,39704,12/7/1996,12/7/1997
12023,43252,12/7/1997,12/7/1998
12023,44836,12/7/1998,12/7/1999
12023,48754,12/7/1999,12/6/2000
12023,48649,12/6/2000,12/6/2001
12023,52503,12/6/2001,1/1/9999
12024,65580,11/3/1997,11/3/1998
12024,68000,11/3/1998,11/3/1999
12024,68299,11/3/1999,11/2/2000
12024,68686,11/2/2000,11/2/2001
12024,71208,11/2/2001,1/1/9999
12025,62126,2/28/1985,2/28/1986
12025,62857,2/28/1986,2/28/1987
12025,65101,2/28/1987,2/28/1988
12025,64768,2/28/1988,2/27/1989
12025,64709,2/27/1989,2/27/1990
12025,67429,2/27/1990,6/9/1990
12026,76571,7/6/1999,7/5/2000
12026,81016,7/5/2000,7/5/2001
12026,82163,7/5/2001,7/5/2002
12026,86350,7/5/2002,1/1/9999
12027,45038,11/23/1985,11/23/1986
12027,46479,11/23/1986,11/23/1987
12027,46061,11/23/1987,11/22/1988
12027,46405,11/22/1988,11/22/1989
12027,49149,11/22/1989,11/22/1990
12027,50522,11/22/1990,11/22/1991
12027,53720,11/22/1991,11/21/1992
12027,56364,11/21/1992,11/21/1993
12027,59901,11/21/1993,11/21/1994
12027,61258,11/21/1994,11/21/1995
12027,62511,11/21/1995,11/20/1996
12027,62649,11/20/1996,11/20/1997
12027,63226,11/20/1997,11/20/1998
12027,67022,11/20/1998,11/20/1999
12027,71380,11/20/1999,11/19/2000
12027,70921,11/19/2000,11/19/2001
12027,71281,11/19/2001,1/1/9999
12028,51314,9/2/1992,9/2/1993
12028,52612,9/2/1993,9/2/1994
12028,53704,9/2/1994,9/2/1995
12028,55862,9/2/1995,9/1/1996
12028,58331,9/1/1996,9/1/1997
12028,61136,9/1/1997,9/1/1998
12028,61339,9/1/1998,9/1/1999
12028,62331,9/1/1999,8/31/2000
12028,63783,8/31/2000,8/31/2001
12028,63638,8/31/2001,1/1/9999
12029,41474,7/10/1986,7/10/1987
12029,44178,7/10/1987,7/9/1988
12029,48490,7/9/1988,7/9/1989
12029,50685,7/9/1989,7/9/1990
12029,50493,7/9/1990,7/9/1991
12029,50572,7/9/1991,7/8/1992
12029,55017,7/8/1992,7/8/1993
12029,57458,7/8/1993,7/8/1994
12029,59200,7/8/1994,7/8/1995
12029,63036,7/8/1995,7/7/1996
12029,63172,7/7/1996,7/7/1997
12029,67202,7/7/1997,7/7/1998
12029,69485,7/7/1998,7/7/1999
12029,69138,7/7/1999,7/6/2000
12029,69664,7/6/2000,7/6/2001
12029,73419,7/6/2001,7/6/2002
12029,76182,7/6/2002,1/1/9999
12030,40000,6/24/1996,6/24/1997
12030,41234,6/24/1997,6/24/1998
12030,44933,6/24/1998,6/24/1999
12030,45312,6/24/1999,6/23/2000
12030,46317,6/23/2000,6/23/2001
12030,46091,6/23/2001,6/23/2002
